hash,type,question,answer
198819b9502df8b0f5fff7b47e6559a5,1,部,おおざと
7ce037e74eeabb2aaa9609916a5640c7,1,海,さんずい
c5138cc48bdb8d3ebbd25bf0620aa907,1,泳,さんずい
ed91ef6e8d32d9aa2146eabbc8796a91,1,池,さんずい
877c2dba17cdb9cd96ef615f5435bf57,1,話,ごんべん
4ca0c3386d54f0b8e68db0ca2833d039,1,語,ごんべん
5d213620ab32e0e4866c97ea7a8a3b9e,1,起,そうにょう
a2c844285ebbc6af14b2397336e1144e,1,進,しんにょう
c6515c4b11b6ddaba43b05b01c1b61c0,1,道,しんにょう
4a229f78564526f9eb493c8db782ee3e,1,近,しんにょう
2c8c63f34cc213e2f265501b7ac6454a,1,遠,しんにょう
13059cc5ba5716e52426cf002fd3b280,1,書,ふでづくり
82e5ac7e23706eee4d7fc3f81da959c8,1,図,くにがまえ
c1c03bc9e1a7aa01f0819b180050de1b,1,国,くにがまえ
f924c08c674c5e92105cbc65422d69b4,1,学,こ
bffe0513476ea4dec6d47e795a8fabee,1,教,のぶん
d89ad3c8629e4140856079c3e6b3c6ad,1,問,もんがまえ
62772ad4f03556b7fb7774f4939978f4,1,聞,もんがまえ
b2dc037e0e38bb2f326d08a33ac2d946,1,読,ごんべん
fbf3e73816e4c68850716dabbceec1aa,1,情,りっしんべん
1618ed5936446c5459659a91e74c66d3,1,節,たけかんむり
b36b10cf1f99f937fad2c024a02e4022,2,食器,ショッキ
d31c133f6fccc6e3784cbd5e01aad6b1,2,倉庫,ソウコ
12deb33237810fe8a1e775c9b6c7daec,2,米倉,こめぐら
1cfba0b72a471d4d2512fb948d7034e1,2,巣箱,すばこ
29789ae30102ea68410068a521f7f1f3,2,感覚,カンカク
a8c45d06eec574d6944374b634180803,2,労働,ロウドウ
f3f3df7572751ade409c050cc456ac13,2,失礼,シツレイ
ef9d1a19c785ac70216287ad3f2a09b8,2,小包,こづつみ
b60e139d01437b047eacb2a1ca340c44,2,包丁,ホウチョウ
27979a336f280a31ce4e027a2ef5b1c1,2,例題,レイダイ
5b977750d4ffe2f491401afe3861c2c8,2,名案,メイアン
4e5c3f8955093eea9071438333de3de7,2,相続,ソウゾク
5a55d9a2fccfd3f2bcae8874ba33e4eb,2,変化,ヘンカ
f76323f5f2d5b08d58adb5605c6001bb,2,伝記,デンキ
6737cab5d3a8555eb1c763643f60c574,2,伝言,デンゴン
